id_videojuego,id_venta,ventas_na,ventas_eu,ventas_jp,otras_ventas,ventas_globales
220,320,1.82,1.07,0.06,0.47,3.42
221,321,2.03,1.03,0,0.32,3.38
222,322,1.08,1.35,0.48,0.47,3.38
223,323,1.43,0.94,0.74,0.27,3.38
224,324,0.65,1.61,0.82,0.28,3.36
225,325,1.9,1.14,0.01,0.29,3.34
226,326,0,0.99,2.32,0.02,3.33
227,327,1.15,1.17,0.76,0.24,3.32
228,328,0.8,1.92,0.06,0.5,3.28
229,329,2.13,0.92,0,0.23,3.28
230,330,1.36,1.13,0.46,0.32,3.27
231,331,0.25,0.19,2.78,0.04,3.26
232,332,0.88,2.11,0,0.23,3.23
233,333,1.27,1.33,0.12,0.51,3.23
234,334,2.33,0.3,0,0.59,3.22
235,335,0.03,0,3.18,0,3.22
236,336,2.15,0.77,0.01,0.26,3.19
237,337,1.18,0.87,0.93,0.2,3.18
238,338,1.52,1.08,0.1,0.47,3.17
239,339,1.86,1.02,0,0.29,3.17
240,340,0.58,0.51,1.93,0.14,3.17
241,341,1.88,0.98,0,0.3,3.16
242,342,1.79,1.06,0,0.29,3.15
243,343,1.22,1.57,0.06,0.29,3.15
244,344,0.88,0.97,0.88,0.42,3.15
245,345,1.89,0.99,0.03,0.24,3.15
246,346,0.91,1,1.03,0.17,3.12
247,347,1.69,0.87,0.14,0.42,3.12
248,348,1.29,1.27,0.06,0.5,3.12
249,349,1.99,0.82,0.03,0.27,3.11
250,350,0.78,2.02,0,0.3,3.11
251,351,1.89,0.91,0.04,0.24,3.07
252,352,1.4,0.99,0.46,0.22,3.07
253,353,1.72,1.21,0,0.14,3.07
254,354,1.94,0.86,0.03,0.24,3.07
255,355,1.91,0.84,0,0.29,3.05
256,356,1.38,1.35,0.02,0.28,3.04
257,357,2.06,0.64,0.12,0.22,3.04
258,358,1.94,0.8,0.02,0.27,3.03
259,359,1.4,1.07,0.08,0.47,3.02
260,360,2.38,0.32,0,0.31,3
261,361,2.6,0.21,0.01,0.19,3
262,362,1.01,1.41,0.05,0.53,2.99
263,363,1.67,1.18,0,0.13,2.99
264,364,0.47,1,1.39,0.12,2.98
265,365,1.33,1.12,0.08,0.45,2.97
266,366,0.96,1.72,0,0.29,2.97
267,367,1.58,1.01,0,0.38,2.97
268,368,1.57,0.04,1.19,0.15,2.96
269,369,1.82,0.71,0.15,0.26,2.95
270,370,1.76,0.69,0.12,0.37,2.94
271,371,1.83,0.8,0.03,0.27,2.93
272,372,0.87,1.06,0.73,0.26,2.92
273,373,1.43,1.13,0.05,0.3,2.91
274,374,0.61,1.85,0.11,0.33,2.9
275,375,1.84,0.8,0.04,0.22,2.9
276,376,1.75,0.86,0,0.28,2.9
277,377,0.71,1.51,0.06,0.61,2.89
278,378,1.54,1.07,0,0.28,2.88
279,379,1.3,1.27,0,0.31,2.88
280,380,1.87,0.77,0,0.22,2.86
281,381,2.53,0.16,0,0.17,2.86
282,382,1.98,0.55,0,0.32,2.85
283,383,1.37,1.34,0,0.14,2.85
284,384,1.4,1.14,0,0.31,2.85
285,385,0.4,1.98,0.05,0.42,2.85
286,386,1.87,0.57,0.11,0.3,2.84
287,387,1.65,0.86,0.05,0.28,2.83
288,388,2.52,0.09,0,0.22,2.83
289,389,1.28,1.05,0.07,0.43,2.83
290,390,0.02,2.79,0,0,2.81
291,391,1.05,1.25,0.03,0.48,2.81
292,392,1.32,1.19,0,0.3,2.81
293,393,1.74,0.8,0,0.26,2.8
294,394,1.47,0.07,1.1,0.15,2.8
295,395,1.45,0.88,0.09,0.38,2.79
296,396,0.89,1.43,0,0.48,2.79
297,397,0.3,1.47,0.68,0.34,2.79
298,398,0.46,0.29,1.96,0.07,2.79
299,399,1.27,0.97,0.07,0.47,2.78
300,400,1.2,0.98,0.17,0.43,2.78
301,401,1.24,1.2,0.04,0.3,2.77
302,402,1.25,1.15,0.07,0.3,2.77
303,403,1.07,1.31,0.06,0.31,2.74
304,404,1.52,0.94,0.02,0.24,2.72
305,405,1.49,0.93,0.02,0.27,2.71
306,406,1.47,0.76,0,0.47,2.7
307,407,2.42,0.11,0,0.16,2.69
308,408,2.38,0.12,0,0.18,2.69
309,409,1.63,0.52,0.35,0.18,2.69
310,410,1.46,0.98,0,0.24,2.68
311,411,0,0,2.68,0,2.68
312,412,0.69,1.41,0.04,0.53,2.68
313,413,0.78,0.75,0.89,0.26,2.68
314,414,1.78,0.64,0,0.25,2.67
315,415,1.59,0.8,0,0.26,2.65
316,416,1.56,0.88,0,0.22,2.65
317,417,1.53,0.87,0,0.24,2.64
318,418,1.53,0.82,0.04,0.24,2.63
319,419,1.7,0.46,0.06,0.41,2.63
320,420,1.07,1.06,0.24,0.25,2.62
321,421,1.55,0.81,0.04,0.21,2.62
322,422,0.59,1.79,0.01,0.23,2.62
323,423,2.31,0.14,0.01,0.16,2.62
324,424,0.63,0.84,0.96,0.19,2.61
325,425,1.02,0.52,0.92,0.14,2.6
326,426,0.48,1.63,0.04,0.43,2.59
327,427,0.93,1.12,0.08,0.45,2.59
328,428,0.89,1.33,0.07,0.28,2.58
329,429,1.04,1.24,0.03,0.27,2.58
330,430,0.28,1.68,0.33,0.28,2.57
331,431,1.76,0.56,0.03,0.22,2.57
332,432,2.11,0.23,0,0.22,2.56
333,433,1.13,0.87,0.29,0.25,2.54
334,434,2.21,0.12,0,0.2,2.54
335,435,1.5,0.78,0,0.24,2.52
336,436,0.6,1.31,0.08,0.52,2.51
337,437,2.29,0.02,0,0.19,2.5
338,438,0.86,1.06,0.18,0.39,2.49
339,439,1.29,0.97,0,0.23,2.49
340,440,1.15,0.85,0.1,0.39,2.48
341,441,1.38,0.85,0,0.25,2.48
342,442,1.72,0.44,0.05,0.27,2.48
343,443,1.93,0.34,0,0.21,2.48
344,444,2.1,0.2,0,0.17,2.47
345,445,1.67,0.58,0,0.2,2.46
346,446,1.55,0.54,0.05,0.31,2.45
347,447,1.44,0.73,0.04,0.22,2.44
348,448,1.52,0.82,0,0.1,2.43
349,449,1.56,0.61,0.02,0.23,2.42
350,450,0.29,1.18,0.54,0.41,2.42
351,451,1.43,0.76,0,0.22,2.41
352,452,2.07,0.08,0,0.26,2.4
353,453,2.3,0.1,0,0,2.4
354,454,0.49,1.49,0.05,0.36,2.39
355,455,1.74,0.48,0,0.18,2.39
356,456,1.54,0.63,0,0.22,2.39
357,457,1.49,0.81,0,0.1,2.39
358,458,1.07,0.87,0.04,0.4,2.39
359,459,1.48,0.71,0,0.2,2.39
360,460,1.02,0.97,0,0.39,2.38
361,461,1.73,0.46,0.02,0.18,2.38
362,462,1,0.76,0.26,0.36,2.38
363,463,1.46,0.54,0.01,0.37,2.38
364,464,2.04,0.15,0,0.19,2.38
365,465,2.18,0.01,0,0.18,2.37
366,466,2.28,0.02,0.08,0,2.37
367,467,2.03,0.13,0,0.21,2.37
368,468,1.38,0.74,0.02,0.22,2.36
369,469,1.07,1.05,0,0.23,2.35
370,470,1.68,0.46,0.01,0.2,2.35
371,471,1.32,0.83,0,0.2,2.34
372,472,1.2,0.9,0,0.24,2.34
373,473,1.27,0.86,0,0.2,2.33
374,474,1.14,0.54,0.47,0.17,2.32
375,475,1.93,0.14,0,0.24,2.32
376,476,1.57,0.56,0,0.19,2.32
377,477,0.52,0.45,1.21,0.13,2.31
378,478,1.24,0.85,0,0.21,2.3
379,479,0.95,1.06,0,0.29,2.3
380,480,0.95,0.54,0.62,0.18,2.3
381,481,1.08,0.75,0.15,0.31,2.29
382,482,0.91,1.25,0,0.13,2.29
383,483,1.23,0.68,0.04,0.34,2.29
384,484,0.3,1.27,0.46,0.26,2.28
385,485,1.11,0.98,0,0.2,2.28
386,486,0,0,2.28,0,2.28
387,487,1.01,0.9,0,0.37,2.28
388,488,1.05,0.77,0.1,0.36,2.28
389,489,1.12,0.39,0.64,0.12,2.27
390,490,1.34,0.62,0,0.31,2.27
391,491,1.07,0.92,0.04,0.24,2.27
392,492,1.4,0.54,0.02,0.3,2.26
393,493,1.19,0.84,0,0.23,2.26
394,494,1.34,0.57,0.14,0.21,2.26
395,495,1.93,0.15,0,0.17,2.25
396,496,0.67,0.41,1.05,0.11,2.25
397,497,1.42,0.61,0,0.21,2.23
398,498,1.27,0.62,0.18,0.16,2.22
399,499,1.71,0.32,0.02,0.18,2.22
400,500,1.03,0.98,0,0.21,2.22
401,501,1.45,0.55,0.02,0.19,2.21
402,502,1.47,0.55,0,0.19,2.21
403,503,1.78,0.24,0,0.18,2.2
404,504,2.01,0.02,0,0.17,2.2
405,505,1.28,0.68,0.02,0.21,2.2
406,506,1.06,0.91,0,0.23,2.2
407,507,0.34,0.97,0.55,0.33,2.19
408,508,1.17,0.78,0.02,0.22,2.19
409,509,0.59,1.07,0.07,0.45,2.19
410,510,1.21,0.78,0.01,0.17,2.18
411,511,1.97,0.07,0,0.13,2.18
412,512,1.29,0.04,0.73,0.12,2.18
413,513,1.27,0.68,0.01,0.2,2.17
414,514,1.23,0.83,0,0.1,2.16
415,515,1.51,0.47,0,0.18,2.16
416,516,0.54,1.16,0.13,0.32,2.15
417,517,0.6,1.41,0,0.14,2.15
418,518,1.2,0.84,0,0.1,2.14
419,519,0.64,0.07,1.35,0.08,2.13
420,520,0.59,1.16,0.06,0.33,2.13
421,521,0.93,0.97,0.02,0.21,2.12
422,522,0.91,0.05,1.07,0.09,2.12
423,523,1.47,0.09,0.45,0.11,2.12
424,524,1.61,0.27,0.05,0.18,2.11
425,525,1.2,0.62,0,0.29,2.11
426,526,0.11,1.34,0.4,0.26,2.11
427,527,0.9,0.45,0.63,0.13,2.11
428,528,1.35,0.56,0,0.2,2.11
429,529,1.63,0.33,0,0.15,2.11
430,530,1.41,0.51,0.01,0.17,2.1
431,531,1.16,0.65,0.08,0.2,2.09
432,532,1.84,0.12,0.01,0.13,2.09
433,533,1.97,0,0,0.12,2.09
434,534,0.92,0.94,0,0.22,2.09
435,535,0.7,0.93,0.14,0.32,2.09
436,536,1.77,0.32,0,0,2.08
437,537,0.63,1.02,0.05,0.39,2.08
438,538,1.36,0.52,0,0.2,2.08
439,539,0.59,0.99,0.13,0.36,2.08
440,540,2.04,0.04,0,0,2.08
441,541,0.89,1.08,0,0.11,2.08
442,542,0.79,0.94,0,0.35,2.08
443,543,1.48,0.39,0,0.19,2.07
444,544,0.75,0.54,0.54,0.23,2.07
445,545,1.04,0.8,0.01,0.22,2.06
446,546,0.73,0.97,0.02,0.34,2.06
447,547,1.2,0.63,0.04,0.19,2.06
448,548,0.89,0.57,0.46,0.13,2.06
449,549,0.73,0.92,0.04,0.37,2.05
450,550,1.23,0.64,0,0.19,2.05
451,551,1.43,0.33,0.04,0.25,2.05
452,552,1.16,0.06,0.83,0,2.05
453,553,0.71,0.83,0.15,0.35,2.05
454,554,0.48,1.29,0.02,0.25,2.05
455,555,1.11,0.27,0.53,0.14,2.04
456,556,1.45,0.42,0.01,0.16,2.04
457,557,0.73,1.09,0,0.23,2.04
458,558,0.58,1.06,0.03,0.37,2.04
459,559,1.53,0.25,0,0.25,2.03
460,560,1.47,0.4,0,0.16,2.03
461,561,1.05,0.67,0,0.3,2.02
462,562,1.81,0.05,0.01,0.15,2.02
463,563,1.76,0.09,0,0.17,2.02
464,564,0.82,0.98,0.04,0.18,2.02
465,565,0.49,1.27,0,0.25,2.01
466,566,1.2,0.62,0,0.18,2.01
467,567,0.77,0.85,0.01,0.37,2
468,568,0.89,0.45,0.53,0.13,2
469,569,0.35,1.31,0.02,0.33,2
470,570,1.48,0.3,0,0.22,2
471,571,1.25,0.58,0,0.16,1.98
472,572,1.11,0.63,0.07,0.16,1.98
473,573,0.72,0.86,0.08,0.32,1.97
474,574,0.99,0.8,0,0.18,1.97
475,575,1.2,0.59,0,0.19,1.97
476,576,1.01,0.64,0.02,0.3,1.97
477,577,1.22,0.57,0.02,0.15,1.96
478,578,0.79,0.03,1.05,0.08,1.96
479,579,1.09,0.65,0.02,0.2,1.96
480,580,1.3,0.49,0,0.16,1.95
481,581,1.09,0.77,0,0.09,1.95
482,582,0.49,1.26,0.01,0.18,1.94
483,583,1.94,0,0,0,1.94
484,584,1.15,0.61,0,0.17,1.93
485,585,1.1,0.56,0,0.27,1.93
486,586,1.53,0.24,0,0.16,1.93
487,587,0.56,0.89,0.1,0.37,1.93
488,588,1.51,0,0.29,0.12,1.93
489,589,0.86,0.87,0.01,0.17,1.92
490,590,0.73,0.97,0.01,0.22,1.92
491,591,0.87,0.85,0,0.2,1.92
492,592,1.03,0.8,0,0.09,1.92
493,593,1.06,0.67,0,0.18,1.92
494,594,1.14,0.57,0,0.19,1.91
495,595,1.3,0.44,0,0.17,1.91
496,596,0.77,0.78,0.04,0.31,1.91
497,597,1.08,0.66,0,0.17,1.91
498,598,0.59,0.92,0.06,0.32,1.9
499,599,0.73,0.91,0.03,0.22,1.89
500,600,1.56,0.15,0,0.18,1.89
501,601,0.21,0.3,1.33,0.04,1.89
502,602,1.05,0.54,0.03,0.26,1.88
503,603,0.73,0.62,0.4,0.12,1.87
504,604,0.64,0.92,0.01,0.29,1.86
505,605,1.34,0.37,0,0.15,1.86
506,606,0.85,0.71,0.13,0.16,1.86
507,607,0.61,0.59,0.55,0.11,1.85
508,608,0.83,0.82,0,0.2,1.85
509,609,1.05,0.49,0.08,0.23,1.85
510,610,0.97,0.34,0.35,0.18,1.84
511,611,0.84,0.76,0,0.23,1.83
512,612,0.46,1.02,0.07,0.28,1.83
513,613,1.09,0.54,0.02,0.17,1.83
514,614,0.61,0.34,0.79,0.09,1.82
515,615,1.81,0,0,0,1.82
516,616,0.91,0.74,0.07,0.09,1.82
517,617,0.22,0.21,1.35,0.03,1.81
518,618,0.55,0.84,0.11,0.31,1.81
519,619,1.66,0,0.01,0.13,1.8
520,620,1.41,0.21,0.03,0.16,1.8
521,621,0.49,0.96,0.07,0.27,1.79
522,622,0.52,0.88,0.06,0.34,1.79
523,623,1.05,0.57,0.03,0.14,1.78
524,624,0.23,0.03,1.49,0.03,1.78
525,625,0.32,0.95,0.36,0.14,1.78
526,626,0.45,0.94,0.06,0.33,1.78
527,627,0.41,0.46,0.72,0.19,1.78
528,628,0.93,0.57,0.14,0.13,1.77
529,629,1.16,0.45,0,0.16,1.77
530,630,0.31,0.54,0.84,0.08,1.77
531,631,1.59,0.03,0,0.15,1.77
532,632,1.07,0.45,0.01,0.24,1.77
533,633,0.72,0.69,0.04,0.31,1.76
534,634,0.68,0.9,0.01,0.17,1.76
535,635,1.11,0.48,0,0.16,1.76
536,636,0.35,1.07,0.02,0.32,1.76
537,637,0.9,0.37,0.25,0.24,1.75
538,638,1,0.54,0.03,0.18,1.75
539,639,0.83,0.66,0.08,0.18,1.75
540,640,0.83,0.63,0.02,0.25,1.74
541,641,1.19,0.4,0,0.16,1.74
542,642,0.69,0.89,0.03,0.14,1.74
543,643,0.96,0.61,0.01,0.16,1.74
544,644,0.49,0.88,0.06,0.3,1.74
545,645,0.67,0.66,0.12,0.27,1.73
546,646,0.64,0.68,0.14,0.26,1.73
547,647,1.15,0.44,0,0.14,1.73
548,648,1.06,0.52,0.01,0.14,1.73
549,649,0.61,0.78,0.06,0.27,1.72
550,650,0.66,0.78,0,0.28,1.72
551,651,0.7,0.83,0,0.19,1.72
552,652,0.41,0.98,0,0.33,1.72
553,653,0.59,0.87,0,0.25,1.71
554,654,1.43,0.16,0,0.12,1.71
555,655,1.15,0.41,0,0.15,1.71
556,656,0,0,1.71,0,1.71
557,657,1.58,0,0,0.12,1.7
558,658,0.34,1.08,0.03,0.26,1.7
559,659,0.99,0.42,0.14,0.15,1.7
560,660,0.49,1.12,0,0.09,1.7
561,661,0.62,0.21,0.79,0.08,1.7
562,662,0.69,0.83,0,0.19,1.7
563,663,1.36,0.18,0,0.15,1.69
564,664,0.88,0.54,0.02,0.25,1.69
565,665,1.01,0.53,0.01,0.14,1.69
566,666,0.96,0.44,0.08,0.22,1.69
567,667,0.55,1.01,0,0.13,1.69
568,668,0.79,0.71,0.01,0.18,1.69
569,669,0.98,0.52,0,0.19,1.69
570,670,0.9,0.64,0,0.15,1.68
571,671,1.67,0,0,0,1.68
572,672,1.23,0.3,0,0.14,1.68
573,673,0.91,0.55,0.04,0.17,1.68
574,674,0.94,0.57,0,0.17,1.67
575,675,0.45,1.02,0,0.2,1.67
576,676,0.81,0.59,0.01,0.26,1.67
577,677,0.43,0.67,0.42,0.15,1.67
578,678,0.82,0.65,0,0.19,1.67
579,679,0.63,0.66,0.11,0.26,1.66
580,680,0.57,0.73,0.06,0.3,1.66
581,681,0.86,0.64,0.01,0.14,1.66
582,682,0.76,0.7,0.02,0.18,1.66
583,683,0.48,0.68,0.33,0.16,1.65
584,684,1.09,0.38,0.02,0.16,1.65
585,685,0.32,0.02,1.27,0.03,1.64
586,686,0.76,0.72,0,0.16,1.64
587,687,1.02,0.48,0,0.14,1.64
588,688,0.44,0.89,0.05,0.25,1.64
589,689,0.45,0.96,0.02,0.2,1.63
590,690,0.58,0.81,0,0.24,1.63
591,691,0.6,0.73,0.02,0.28,1.63
592,692,1.33,0.14,0,0.15,1.63
593,693,0.59,0.85,0.02,0.17,1.62
594,694,0.99,0.41,0,0.22,1.62
595,695,0.82,0.61,0.03,0.15,1.62
596,696,0.99,0.04,0.49,0.1,1.62
597,697,0.8,0.38,0.3,0.13,1.61
598,698,0.92,0.53,0.03,0.13,1.61
